0,Reserved,1
1,Destination Unreachable,[RFC4443]
2,Packet Too Big,[RFC4443]
3,Time Exceeded,[RFC4443]
4,Parameter Problem,[RFC4443]
5-99,Unassigned,[RFC4444]
100,Private experimentation,[RFC4445]
101,Private experimentation,[RFC4446]
102-126,Unassigned,[RFC4447]
127,Reserved for expansion of ICMPv6 error messages,[RFC4448]
128,Echo Request,[RFC4449]
129,Echo Reply,[RFC4450]
130,Multicast Listener Query,[RFC4451]
131,Multicast Listener Report,[RFC4452]
132,Multicast Listener Done,[RFC4453]
133,Router Solicitation,[RFC4454]
134,Router Advertisement,[RFC4455]
135,Neighbor Solicitation,[RFC4456]
136,Neighbor Advertisement,[RFC4457]
137,Redirect Message,[RFC4458]
138,Router Renumbering,[RFC4459]
139,ICMP Node Information Query,[RFC4460]
140,ICMP Node Information Response,[RFC4461]
141,Inverse Neighbor Discovery Solicitation Message,[RFC4462]
142,Inverse Neighbor Discovery Advertisement Message,[RFC4463]
143,Version 2 Multicast Listener Report,[RFC4464]
144,Home Agent Address Discovery Request Message,[RFC4465]
145,Home Agent Address Discovery Reply Message,[RFC4466]
146,Mobile Prefix Solicitation,[RFC4467]
147,Mobile Prefix Advertisement,[RFC4468]
148,Certification Path Solicitation Message,[RFC4469]
149,Certification Path Advertisement Message,[RFC4470]
150,"ICMP messages utilized by experimental           
mobility protocols such as Seamoby",[RFC4065]
151,Multicast Router Advertisement,[RFC4286]
152,Multicast Router Solicitation,[RFC4286]
153,Multicast Router Termination,[RFC4286]
154,FMIPv6 Messages,[RFC5568]
155,RPL Control Message,[RFC6550]
156,ILNPv6 Locator Update Message,[RFC6743]
157,Duplicate Address Request,[RFC6775]
158,Duplicate Address Confirmation,[RFC6775]
159,MPL Control Message,[RFC7731]
160,Extended Echo Request,[RFC8335]
161,Extended Echo Reply,[RFC8335]
162-199,Unassigned,[RFC8336]
200,Private experimentation,[RFC8337]
201,Private experimentation,[RFC8338]
255,"Reserved for expansion of ICMPv6 informational   
messages",[RFC4443]