0000-05DC,IEEE802.3 Length Field,1
0101-01FF,Experimental,1
200,XEROX PUP,1
201,PUP Addr Trans,1
400,Nixdorf,1
600,XEROX NS IDP,1
660,DLOG,1
661,DLOG,1
800,IP,1
801,X.75 Internet,1
802,NBS Internet,1
803,ECMA Internet,1
804,Chaosnet,1
805,X.25 Level 3,1
806,ARP,1
807,XNS Compatability,1
808,Frame Relay ARP,1
081C,Symbolics Private,1
0888-088A,Xyplex,1
900,Ungermann-Bass net debugr,1
0A00,Xerox IEEE802.3 PUP,1
0A01,PUP Addr Trans,1
0BAD,Banyan VINES,1
0BAE,VINES Loopback,1
0BAF,VINES Echo,1
1000,Berkeley Trailer nego,1
1001-100F,Berkeley Trailer encap/IP,1
1600,Valid Systems,1
22F3,TRILL,1
22F4,L2-IS-IS,1
4242,PCS Basic Block Protocol,1
5208,BBN Simnet,1
6000,DEC Unassigned (Exp.),1
6001,DEC MOP Dump/Load,1
6002,DEC MOP Remote Console,1
6003,DEC DECNET Phase IV Route,1
6004,DEC LAT,1
6005,DEC Diagnostic Protocol,1
6006,DEC Customer Protocol,1
6007,"DEC LAVC, SCA",1
6008-6009,DEC Unassigned,1
6010-6014,3Com Corporation,1
6558,Trans Ether Bridging,1
6559,Raw Frame Relay,1
7000,Ungermann-Bass download,1
7002,Ungermann-Bass dia/loop,1
7020-7029,LRT,1
7030,Proteon,1
7034,Cabletron,1
8003,Cronus VLN,1
8004,Cronus Direct,1
8005,HP Probe,1
8006,Nestar,1
8008,AT&T,1
8010,Excelan,1
8013,SGI diagnostics,1
8014,SGI network games,1
8015,SGI reserved,1
8016,SGI bounce server,1
8019,Apollo Domain,1
802E,Tymshare,1
802F,"Tigan, Inc.",1
8035,RARP,1
8036,Aeonic Systems,1
8038,DEC LANBridge,1
8039-803C,DEC Unassigned,1
803D,DEC Ethernet Encryption,1
803E,DEC Unassigned,1
803F,DEC LAN Traffic Monitor,1
8040-8042,DEC Unassigned,1
8044,Planning Research Corp.,1
8046,AT&T,1
8047,AT&T,1
8049,ExperData,1
805B,Stanford V Kernel exp.,1
805C,Stanford V Kernel prod.,1
805D,Evans & Sutherland,1
8060,Little Machines,1
8062,Counterpoint Computers,1
8065,Univ. of Mass. @ Amherst,1
8066,Univ. of Mass. @ Amherst,1
8067,Veeco Integrated Auto.,1
8068,General Dynamics,1
8069,AT&T,1
806A,Autophon,1
806C,ComDesign,1
806D,Computgraphic Corp.,1
806E-8077,Landmark Graphics Corp.,1
807A,Matra,1
807B,Dansk Data Elektronik,1
807C,Merit Internodal,1
807D-807F,Vitalink Communications,1
8080,Vitalink TransLAN III,1
8081-8083,Counterpoint Computers,1
809B,Appletalk,1
809C-809E,Datability,1
809F,Spider Systems Ltd.,1
80A3,Nixdorf Computers,1
80A4-80B3,Siemens Gammasonics Inc.,1
80C0-80C3,DCA Data Exchange Cluster,1
80C4,Banyan Systems,1
80C5,Banyan Systems,1
80C6,Pacer Software,1
80C7,Applitek Corporation,1
80C8-80CC,Intergraph Corporation,1
80CD-80CE,Harris Corporation,1
80CF-80D2,Taylor Instrument,1
80D3-80D4,Rosemount Corporation,1
80D5,IBM SNA Service on Ether,1
80DD,Varian Associates,1
80DE-80DF,Integrated Solutions TRFS,1
80E0-80E3,Allen-Bradley,1
80E4-80F0,Datability,1
80F2,Retix,1
80F3,AppleTalk AARP (Kinetics),1
80F4-80F5,Kinetics,1
80F7,Apollo Computer,1
80FF,Wellfleet Communications,1
8100,Customer VLAN Tag Type ,1
8101-8103,Wellfleet Communications,1
8107-8109,Symbolics Private,1
8130,Hayes Microcomputers,1
8131,VG Laboratory Systems,1
8132-8136,Bridge Communications,1
8137-8138,"Novell, Inc.",1
8139-813D,KTI,1
8148,Logicraft,1
8149,Network Computing Devices,1
814A,Alpha Micro,1
814C,SNMP,1
814D,BIIN,1
814E,BIIN,1
814F,Technically Elite Concept,1
8150,Rational Corp,1
8151-8153,Qualcomm,1
815C-815E,Computer Protocol Pty Ltd,1
8164-8166,Charles River Data System,1
817D,XTP,1
817E,SGI/Time Warner prop.,1
8180,HIPPI-FP encapsulation,1
8181,"STP, HIPPI-ST",1
8182,Reserved for HIPPI-6400,1
8183,Reserved for HIPPI-6400,1
8184-818C,Silicon Graphics prop.,1
818D,Motorola Computer,1
819A-81A3,Qualcomm,1
81A4,ARAI Bunkichi,1
81A5-81AE,RAD Network Devices,1
81B7-81B9,Xyplex,1
81CC-81D5,Apricot Computers,1
81D6-81DD,Artisoft,1
81E6-81EF,Polygon,1
81F0-81F2,Comsat Labs,1
81F3-81F5,SAIC,1
81F6-81F8,VG Analytical,1
8203-8205,Quantum Software,1
8221-8222,Ascom Banking Systems,1
823E-8240,Advanced Encryption Syste,1
827F-8282,Athena Programming,1
8263-826A,Charles River Data System,1
829A-829B,Inst Ind Info Tech,1
829C-82AB,Taurus Controls,1
82AC-8693,Walker Richer & Quinn,1
8694-869D,Idea Courier,1
869E-86A1,Computer Network Tech,1
86A3-86AC,Gateway Communications,1
86DB,SECTRA,1
86DE,Delta Controls,1
86DD,IPv6,1
86DF,ATOMIC,1
86E0-86EF,Landis & Gyr Powers,1
8700-8710,Motorola,1
876B,TCP/IP Compression,1
876C,IP Autonomous Systems,1
876D,Secure Data,1
8808,IEEE Std 802.3-Ethernet Passive Optical Network (EPON),1
880B,PPP,1
880C,GSMP,1
8847,MPLS,1
8848,MPLS with upstream-assigned label,1
8861,Multicast Channel Allocation Protocol (MCAP),1
8863,PPP over Ethernet (PPPoE) Discovery Stage,1
8864,PPP over Ethernet (PPPoE) Session Stage,1
888E,IEEE Std 802.1X - Port-based network access control,1
88A8,IEEE Std 802.1Q - Service VLAN tag identifier (S-Tag),1
8A96-8A97,Invisible Software,1
88B5,IEEE Std 802 - Local Experimental Ethertype,1
88B6,IEEE Std 802 - Local Experimental Ethertype,1
88B7,IEEE Std 802 - OUI Extended Ethertype,1
88C7,IEEE Std 802.11 - Pre-Authentication (802.11i),1
88CC,IEEE Std 802.1AB - Link Layer Discovery Protocol (LLDP),1
88E5,IEEE Std 802.1AE - Media Access Control Security,1
88E7,Provider Backbone Bridging Instance tag,1
88F5,IEEE Std 802.1Q  - Multiple VLAN Registration Protocol (MVRP),1
88F6,IEEE Std 802.1Q - Multiple Multicast Registration Protocol (MMRP),1
890D,IEEE Std 802.11 - Fast Roaming Remote Request (802.11r),1
8917,IEEE Std 802.21 - Media Independent Handover Protocol,1
8929,IEEE Std 802.1Qbe - Multiple I-SID Registration Protocol,1
893B,TRILL Fine Grained Labeling (FGL),1
8940,IEEE Std 802.1Qbg - ECP Protocol (also used in 802.1BR),1
8946,TRILL RBridge Channel,1
8947,GeoNetworking as defined in ETSI EN 302 636-4-1,1
894F,NSH (Network Service Header),1
9000,Loopback,1
9001,3Com(Bridge) XNS Sys Mgmt,1
9002,3Com(Bridge) TCP-IP Sys,1
9003,3Com(Bridge) loop detect,1
A0ED,LoWPAN encapsulation,1
B7EA,"The Ethertype will be used to identify a ""Channel""",1
FF00,BBN VITAL-LanBridge cache,1
FF00-FF0F,ISC Bunker Ramo,1
FFFF,Reserved,1